Taxa	DTA_BJ	EW_BJ	PH_BJ
MG_738	67	126.6666667	225.6
MG_739	63	190	235.75
MG_742	62	107.5	201.25
MG_750	65	126	208.4
MG_752	64	128	189
MG_754	68	103.3333333	200.5
MG_755	67	100	245.2
MG_761	68	105	218.6
MG_762	68	106	259.2
MG_772	69	102.5	253
MG_773	64	104	235
MG_778	63	100	272.5
MG_781	72	110	278.75
MG_790	66	102	233.6
MG_793	69	123.3333333	227.4
MG_795	61	132	239.5
MG_800	67	100	222.25
MG_804	65	106.6666667	241
MG_806	70	110	185.5
MG_810	64	110	235.25
MG_815	71	106.6666667	181
MG_816	66	100	221.25
MG_834	69	115	242.2
MG_836	65	100	199.6
MG_852	64	130	268.8
MG_853	70	143.3333333	224.5
MG_860	65	107.5	212
MG_863	61	114	201.5
MG_864	65	130	241.75
MG_872	65	106.6666667	216.5
MG_878	66	107.5	233.75
MG_882	70	107.5	248
MG_887	65	135	229.2
MG_888	68	145	258
MG_891	68	168	263.6
MG_895	66	100	251.25
MG_896	66	123.3333333	187
MG_903	68	112.5	236
MG_904	63	117.5	217
MG_906	65	104	243
MG_908	64	100	234.8
MG_910	70	118	201.25
MG_916	67	106	197.6
MG_918	67	108	247.75
MG_919	68	108	192
MG_920	64	106.6666667	225
MG_922	63	120	234
MG_928	64	127.5	213
MG_929	61	112.5	207
MG_930	64	106.6666667	199.5
MG_934	63	110	234.6
MG_939	68	100	217
MG_943	65	100	248
MG_964	66	120	239.5
MG_976	69	110	235
MG_977	68	108	254
MG_978	68	120	237.25
MG_982	67	122	215.5
MG_988	68	115	243.4
MG_994	68	103.3333333	250.8
MG_1000	62	178	260.2
MG_1004	65	108	186.4
MG_1031	69	120	224.4
MG_1032	68	102.5	240.6
MG_1034	66	106.6666667	231.8
MG_1040	62	116.6666667	221.4
MG_1041	68	128	236.5
MG_1046	64	126.6666667	247.25
MG_1050	70	133.3333333	242.75
MG_1053	68	118	222
MG_1056	67	146.6666667	243.5
MG_1058	66	123.3333333	236
MG_1059	63	105	229.25
MG_1061	65	126	236.8
MG_1079	71	110	203.5
MG_1086	63	116	238
MG_1088	68	104	217.2
MG_1091	67	122.5	270.8
MG_1095	69	133.3333333	196.6
MG_1096	71	113.3333333	277.4
MG_1100	68	127.5	204.2
MG_1105	71	116.6666667	232.5
MG_1107	67	110	199.25
MG_1113	76	100	228.4
MG_1119	63	100	211.4
MG_1126	68	116.6666667	256.5
MG_1130	68	100	216.6
MG_1131	72	112	241.25
MG_1136	69	105	248.5
MG_1139	71	128	252
MG_1146	68	120	230
MG_1166	67	107.5	177.75
MG_1169	67	118	238
MG_1177	64	117.5	232.25
MG_1180	65	103.3333333	235.75
MG_1188	65	100	218.5
MG_1189	65	127.5	210.4
MG_1193	68	113.3333333	255.5
MG_1194	68	113.3333333	225
MG_1198	66	106.6666667	256
MG_1205	69	106	204
MG_1206	65	147.5	238.8
MG_1208	71	103.3333333	240
MG_1212	67	136.6666667	199.2
MG_1216	64	102.5	213.8
MG_1218	66	113.3333333	227
MG_1222	67	124	282.6
MG_1227	70	112.5	243
MG_1228	64	100	243
MG_1231	65	110	250.4
MG_1232	62	140	211.6
MG_1234	70	104	241.5
MG_1235	63	115	214.2
MG_1236	69	110	196
MG_1237	69	113.3333333	221
MG_1239	65	110	209
MG_1250	67	112	238.4
MG_1253	64	116.6666667	211
MG_1256	66	100	220
MG_1258	71	136.6666667	221
MG_1259	67	130	238.4
MG_1263	66	106.6666667	203.2
MG_1265	66	102.5	211.8
MG_1266	66	104	217.6
MG_1274	68	112.5	261.6
MG_1275	68	108	251
MG_1276	68	106.6666667	193
MG_1278	68	113.3333333	253.2
MG_1280	63	103.3333333	245
MG_1289	64	112	245.4
MG_1295	63	100	220.6
MG_1297	66	130	259
MG_1298	68	106.6666667	242.6
MG_1300	68	170	242.25
MG_1302	67	104	214.8
MG_1303	63	133.3333333	229.75
MG_1306	66	144	236.5
MG_1312	65	100	221.6
MG_1315	66	128	220.8
MG_1320	65	116	273
MG_1331	68	120	176.2
MG_1332	65	107.5	253.2
MG_1334	65	106.6666667	217.6
MG_1339	66	106	232.25
MG_1340	66	106.6666667	228
MG_1343	65	100	284.75
MG_1344	70	106.6666667	264.6
MG_1345	64	135	245
MG_1396	67	105	230.2
MG_1397	68	124	224.25
MG_1406	67	100	239
MG_1407	67	102	238.6
MG_1411	66	102	204.2
MG_1413	65	146	211.25
MG_1414	68	126.6666667	269.25
MG_1422	68	112.5	213.25
MG_1424	64	145	210.4
MG_1434	64	106.6666667	236
MG_1437	68	126	222
MG_1439	70	106	216
MG_1440	67	120	224.8
MG_1443	71	112.5	202.8
MG_1444	63	104	194.5
MG_1451	69	110	206.4
MG_1455	70	120	219
MG_1458	67	133.3333333	245
MG_1463	63	100	228
MG_1468	67	140	213
MG_1475	71	128	259.25
MG_1480	63	110	228.5
MG_1490	63	116	227.5
MG_1493	66	122.5	236
MG_1502	69	100	221.8
