Taxa	DTA_BJ	EW_BJ	PH_BJ
MG_433	68	32.5	234.6
MG_435	68	68	206.75
MG_436	63	82	260.2
MG_437	66	92	230.4
MG_438	70	92	197.4
MG_439	63	70	208.8
MG_440	70	98	156.25
MG_442	66	50	175
MG_443	66	77.5	238.5
MG_445	69	90	207.8
MG_446	71	72	178.3333333
MG_447	71	12	221.6
MG_449	67	70	231.4
MG_452	67	80	185.6
MG_453	63	66.66666667	245
MG_454	73	60	233.5
MG_457	63	46.66666667	201.8
MG_459	66	58	237
MG_463	68	84	250.4
MG_465	68	30	202.8
MG_466	65	60	240.25
MG_467	62	76.66666667	210.75
MG_468	68	24	251
MG_472	66	92.5	230.8
MG_473	64	47.5	194.5
MG_474	69	86.66666667	242.6
MG_476	65	90	248.6
MG_477	68	60	255.4
MG_478	67	53.33333333	169.4
MG_479	67	56.66666667	192.8
MG_481	63	93.33333333	224.4
MG_483	65	90	228.6666667
MG_484	66	94	280
MG_486	63	76	198
MG_488	71	96	178.6
MG_489	66	88	249
MG_490	66	37.5	237.2
MG_493	68	22.5	224
MG_494	67	92.5	239.75
MG_495	66	43.33333333	206.6
MG_496	69	80	188.5
MG_498	66	78	240.6
MG_499	64	45	211.75
MG_501	69	60	190.8
MG_502	67	80	204
MG_50	62	116	212.2
MG_507	63	57.5	213.25
MG_510	64	90	245
MG_511	67	86	234
MG_512	63	83.33333333	207.4
MG_514	68	47.5	189.6
MG_51	64	120	202.75
MG_516	64	96	223.6
MG_517	66	26	233.75
MG_518	67	86	244.5
MG_519	66	60	232.75
MG_523	64	18	230
MG_525	69	77.5	242.6
MG_526	63	70	200.2
MG_528	68	78	191.5
MG_529	66	62	236.2
MG_533	65	66.66666667	223.4
MG_53	64	112	224.25
MG_536	65	23.33333333	234.6
MG_539	72	30	180.25
MG_546	67	82.5	217.6
MG_547	68	72.5	215
MG_549	65	58	201.25
MG_552	66	88	206
MG_554	64	84	189
MG_556	66	84	285
MG_560	66	92.5	232.5
MG_561	66	30	218.6
MG_562	66	63.33333333	233
MG_563	66	96	249.25
MG_564	69	77.5	151.6
MG_565	66	66	216.4
MG_56	66	103.3333333	233
MG_566	71	20	300.6
MG_567	65	86	243
MG_569	65	92.5	206.75
MG_571	67	62	219
MG_572	68	50	179.4
MG_577	63	86	229.4
MG_578	68	46	186.75
MG_579	65	86	249.25
MG_580	70	80	234.2
MG_581	67	82	224.5
MG_584	68	14	244.6
MG_585	67	73.33333333	186.25
MG_586	65	20	244.25
MG_589	68	83.33333333	214
MG_593	63	63.33333333	222.5
MG_594	63	50	220.8
MG_595	68	80	191.4
MG_596	71	88	223.25
MG_597	64	70	200
MG_598	70	88	218.6
MG_600	71	70	177
MG_604	63	64	214
MG_605	70	92	186.4
MG_606	69	93.33333333	230.8
MG_609	63	78	212.5
MG_610	69	62	239.75
MG_612	64	66.66666667	222.25
MG_613	63	80	189.4
MG_614	68	98	229.2
MG_618	63	64	202
MG_619	66	92	221.2
MG_620	67	96	244.5
MG_622	62	67.5	179.5
MG_623	67	62.5	224.25
MG_624	67	96.66666667	253.4
MG_625	67	95	202.5
MG_626	65	88	199
MG_62	66	113.3333333	236
MG_627	64	86	210.75
MG_628	68	75	232
MG_629	68	52.5	250
MG_631	67	82	224.8
MG_632	63	73.33333333	239.25
MG_633	63	60	227.4
MG_635	68	63.33333333	220.75
MG_63	63	110	177.2
MG_636	71	67.5	193.6
MG_637	67	64	198
MG_638	69	85	238.8
MG_639	67	55	235.4
MG_640	66	90	188.6
MG_641	68	82.5	242.8
MG_642	64	66.66666667	213.6
MG_643	66	54	229.75
MG_644	69	65	225.6
MG_645	66	95	241.25
MG_646	68	92	237.6
MG_649	69	72.5	239.2
MG_650	65	82.5	248.75
MG_651	63	77.5	240.4
MG_653	68	45	232.4
MG_654	68	45	226.2
MG_655	67	85	241
MG_65	66	126	286.2
MG_656	67	60	190.6
MG_658	69	70	127.6
MG_660	68	94	187
MG_661	70	64	226.75
MG_662	68	78	246.6666667
MG_663	66	83.33333333	182.6
MG_664	70	74	193
MG_672	66	60	217.4
MG_674	68	32.5	265.6
MG_676	63	92	244.4
MG_677	73	87.5	210
MG_679	70	86	202.6
