Taxa	trait1	trait2	trait3
QS236_henan_luoyang	190.3333333	25.89666667	4 
QS237_henan_luoyang	216	26.86666667	1 
QS238_henan_luoyang	226.3333333	26.81333333	3 
QS239_henan_luoyang	233.3333333	28.70333333	4 
QS240_henan_luoyang	275	29.49333333	4 
QS241	154.3333333	24.17	2 
QS242	225	27.28666667	1 
QS243_shandong_yantai	223	24.42	3 
QS244_shandong_yantai	185.6666667	26.16333333	4 
QS245_shandong_yantai	193.3333333	26.69	3 
QS246_henan_nanyang	147.6666667	22.07	4 
QS247_shandong_yantai	199	27.51	3 
QS248_shandong_yantai	191	27.2	1 
QS249_shandong_yantai	157	24.50666667	2 
QS250_shandong_yantai	181.3333333	26.26333333	4 
QS251_shandong_yantai	168	25.29	3 
QS252_shandong_qingdao	177.3333333	25.24666667	4 
QS253_henan_sanmenxia	111.6666667	24.33666667	4 
QS254_henan_sanmenxia	184.6666667	25.43333333	1 
QS255_shandong_qingdao	184.6666667	23.45333333	1 
QS256_shandong_qingdao	243.3333333	27.04	4 
QS257_shandong_qingdao	183.3333333	23.93	0 
QS258_shandong_weihai	201	23.23333333	4 
QS259_shandong_weihai	196	26.38	4 
QS260_shandong_weihai	225.6666667	31.04	3 
QS261_shandong_weihai	167.6666667	24.58333333	4 
QS262_shandong_weifang	264.6666667	28.52333333	4 
QS263_shandong_jinan	203	25.70333333	4 
QS264_shandong_jinan	196	26.51	4 
QS265_shandong_jinan	245.6666667	30.23	4 
QS266_shandong_rizhao	225.6666667	28	4 
QS267_shandong_rizhao	199	25.50666667	2 
QS268_shandong_rizhao	230.6666667	24.25333333	1 
QS269_shandong_weifang	178	24.13333333	0 
QS270_shandong_weifang	210.3333333	26.60333333	2 
QS271_shandong_weifang	196.6666667	27.19333333	1 
QS272_shandong_qingdao	160.3333333	25.67666667	2 
QS273_shandong_qingdao	218.3333333	28.07333333	4 
QS274_shandong_qingdao	225.6666667	27.38333333	1 
QS275_beijing_beijing	165.3333333	25.36333333	4 
